予算/見通区分,予算/見通区分名,年月,会社コード,会社名,プロジェクトコード,プロジェクト名,契約形態コード,契約形態名,原価計算種別コード,原価計算種別名,統括本部（管理）,統括本部名（管理）,事業本部（管理）,事業本部名（管理）,事業部（管理）,事業部名（管理）,管理組織コード,管理組織名,取引先コード,取引先名,営業部門,営業部門名,営業担当者,営業担当者名,部長,部長名,マネージャ,マネージャ名,PM,PM名,開発主管部門,開発主管部門名,業務分類（大）コード,業務分類（大）,業務分類（中）コード,業務分類（中）,業務分類（小）コード,業務分類（小）,商品区分（大）コード,商品区分（大）,商品区分（小）コード,商品区分（小）,戦略ドメイン（大項目）CD,戦略ドメイン（大項目）,戦略ドメイン（小項目）CD,戦略ドメイン（小項目）,全社管理フラグ,受注ランク,業績管理対象外フラグ,受注額(参考),製造予算(参考),当初受注時計画Ver.,受注変更時計画Ver.,集約管理番号,PJ開始日,PJ終了日,投資案件Ｎｏ,投資承認ステータス,サービス型共通費用振替区分,サービス型共通費用振替名,投資回収分類,投資回収分類名,分析コード１,分析コード１名,分析コード２,分析コード２名,分析コード３,分析コード３名,分析コード４,分析コード４名,分析コード５,分析コード５名,分析コード６,分析コード６名,本人代理人区分,本人代理人区分名,原価回収基準,原価回収基準名,分析コード９,分析コード９名,分析コード１０,分析コード１０名,分析コード１１,分析コード１２,分析コード１３,分析コード１４,分析コード１５,分析コード１６,分析コード１７,分析コード１８,分析コード１９,分析コード２０,個別集約キー,分析テキスト２,分析テキスト３,分析テキスト４,分析テキスト５,分析テキスト６,分析テキスト７,分析テキスト８,分析テキスト９,分析テキスト１０,連携システム管理番号,期初受注残,仮受注,受注,受注移管,期末受注残,売上計,　部門売上,　進行基準売上,　内部売上,　内部進行基準売上,　その他売上,売上原価,　人件費,　外注費計,　　外注費（一括外注費）,　　　請負外注費,　　　準委任外注費,　　　派遣外注費,　　外注費（引入外注費）,　　　請負外注費,　　　準委任外注費,　　　派遣外注費,　経費,　　機械費,　　機械費(他XaaS仕入),　　保守料,　　減価償却費,　　家賃地代,　　設備費,　　電力費,　　通信回線使用料,　　備品消耗品費,　　旅費交通費,　　海外出張費,　　広告宣伝費,　　交際接待費,　　会議費,　　寄付金,　　教育費,　　求人採用費,　　支払手数料,　　租税公課等,　　その他経費,　経費(費用振替),　　振替労務費,　　振替DC利用料（機械）,　　振替DC利用料（設備）,　　振替DC利用料（回線）,　　振替施設費,　　振替インフラ費,　　振替その他経費,　　振替サービス型共通費,　費用移管,　仕入原価,　内部仕入計,　　内部仕入,　　内部進行仕入,　原価差額,　製造間接費,　仕掛残,　　期首仕掛残,　　期末仕掛残,　ソフ仮残,　　期首ソフ仮残,　　期末ソフ仮残,　他勘定振替,　　ソフトウェア資産,　　その他調整額,受注損失引当金,　　繰入,　　繰戻,売上総利益,販売費,　販売費(発生額),　部門販売費,一般管理費,　一般管理費(発生額),　部門一般管理費,販管費配賦,　　事業部配賦,　　事業本部配賦,　　統括本部配賦,事業貢献利益,本社配賦,営業利益
02,修正予算,202604,20102,TISシステムサービス株式会社,A0000GF100,ＣＤＳ_4G_01_オーナンバ：リモート運用,A2,準委任,D,売上原価,,,160S,統括本,180S,ＣＤＳ本,5365,ＣＤＳ,,,,,,,,,,,,,,,1000,O/S,1100,運用･監視サ－ビス,1120,運用,,,,,,,,,,1,,,,7,28,01200000194,20210301,20270430,,,,,,,4020300,TIG情シス向け,,,322,システム運用,102755,オーナンバ,1,ストック,1,既存,,,,,,,,,,,,,,,,,,B12323,,,,,,,,4,ＩＳＳ,BK53,,"-1,020,750",0,0,0,"-1,361,000","340,250","340,250",0,0,0,0,"284,818",0,"54,600",0,0,0,0,"54,600",0,0,"54,600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"207,500","207,500",0,0,"22,718",0,0,0,0,0,0,0,0,0,0,0,0,"55,432",0,0,0,"3,946",0,"3,946","8,663","5,131","3,532",0,"42,823","8,446","34,377"
02,修正予算,202604,20102,TISシステムサービス株式会社,A0000KQ100,ＳＤＣ_1Ｇ_ＧＡＩＡコントクトセンター運用,A2,準委任,D,売上原価,,,160S,統括本,180S,ＣＤＳ本,5365,ＣＤＳ,,,,,,,,,,,,,,,1000,O/S,1200,ＢＰＯサービス,1230,Cセンタ,,,,,,,,,,1,,,,1,43,01200000822,20210301,20270430,,,,,,,4020300,TIG情シス向け,,,321,顧客アカウント運用,100928,ＴＩＳビジネスサービス,1,ストック,1,既存,,,,,,,,,,,,,,,,,,B12987,,,,,,,,,,BK43,,0,0,0,0,"-1,362,000","1,362,000","1,362,000",0,0,0,0,"1,363,750","523,050","440,000",0,0,0,0,"440,000",0,0,"440,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"400,700",0,0,0,0,0,0,0,0,0,0,0,0,"-1,750",0,0,0,"69,592",0,"69,592","152,797","90,503","62,294",0,"-224,139","148,980","-373,119"
02,修正予算,202604,20102,TISシステムサービス株式会社,A0000NJ100,ＣＤＳ_4G_01_エムアンドシステム(ストア系),A2,準委任,D,売上原価,,,160S,統括本,180S,ＣＤＳ本,5365,ＣＤＳ,,,,,,,,,,,,,,,1000,O/S,1100,運用･監視サ－ビス,1120,運用,,,,,,,,,,1,,,,8,31,01200000620,20210301,20270331,,,,,,,4020300,TIG情シス向け,,,322,システム運用,102897,エムアンドシーシステム,1,ストック,1,既存,,,,,,,,,,,,,,,,,,B11731,,,,,,,,4,,BK53,,"-785,500",0,0,0,"-1,024,000","238,500","238,500",0,0,0,0,"197,981",0,"48,360",0,0,0,0,"48,360",0,0,"48,360",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"129,500","129,500",0,0,"20,121",0,0,0,0,0,0,0,0,0,0,0,0,"40,519",0,0,0,"3,495",0,"3,495","7,673","4,545","3,128",0,"29,351","7,481","21,870"
02,修正予算,202604,20102,TISシステムサービス株式会社,A0000NT100,ＣＤＳ_4G_01_エムアンドシステム(２４H),A2,準委任,D,売上原価,,,160S,統括本,180S,ＣＤＳ本,5365,ＣＤＳ,,,,,,,,,,,,,,,1000,O/S,1100,運用･監視サ－ビス,1120,運用,,,,,,,,,,1,,,,8,19,01200000622,20210301,20270430,,,,,,,4020300,TIG情シス向け,,,322,システム運用,102897,エムアンドシーシステム,1,ストック,1,既存,,,,,,,,,,,,,,,,,,B11731,,,,,,,,4,,BK53,,"-87,000",0,0,0,"-116,000","29,000","29,000",0,0,0,0,"20,618",0,"14,560",0,0,0,0,"14,560",0,0,"14,560",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,058",0,0,0,0,0,0,0,0,0,0,0,0,"8,382",0,0,0,"1,052",0,"1,052","2,310","1,368",942,0,"5,020","2,252","2,768"
02,修正予算,202604,20102,TISシステムサービス株式会社,A0000UR100,ＣＤＳ_0G_01_販管共通,X3,一般管理費,W,一般管理費,,,160S,統括本,180S,ＣＤＳ本,5365,ＣＤＳ,,,5365,ＣＤＳ,XX,使用不可,XX,使用不可,XX,使用不可,XX,使用不可,5365,ＣＤＳ,C000,一般管理,C100,一般管理費,C110,一般管理,,,,,,,,,,B,,,"12,504,000",,,,20210301,20270430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,609,950","-1,609,950",0,0,0,0,0,0,0
02,修正予算,202604,20102,TISシステムサービス株式会社,A0000US100,ＣＤＳ_0G_11_間接共通,X1,間接費,U,間接費,,,160S,統括本,180S,ＣＤＳ本,5365,ＣＤＳ,,,5365,ＣＤＳ,XX,使用不可,XX,使用不可,XX,使用不可,XX,使用不可,5365,ＣＤＳ,A000,製造間接,A100,製造間接費,A110,製造間接,,,,,,,,,,B,,,,,,,20210301,20270430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,"1,642,500","586,667","-13,333",0,"152,917","-166,250","600,000",0,0,"600,000","2,150,000","1,500,000",0,0,"230,000",0,"50,000",0,"270,000","100,000",0,0,0,0,0,0,0,0,0,0,0,"11,405,000",0,"577,000",0,0,"4,541,000","2,619,000","3,668,000",0,0,0,0,0,0,0,"-15,784,167",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02,修正予算,202604,20102,TISシステムサービス株式会社,A0000UU100,ＣＤＳ_0G_13_インフラ委員他共通,X1,間接費,U,間接費,,,160S,統括本,180S,ＣＤＳ本,5365,ＣＤＳ,,,5365,ＣＤＳ,XX,使用不可,XX,使用不可,XX,使用不可,XX,使用不可,5365,ＣＤＳ,A000,製造間接,A100,製造間接費,A110,製造間接,,,,,,,,,,B,,,,,,,20210301,20270430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02,修正予算,202604,20102,TISシステムサービス株式会社,A0000UX100,ＣＤＳ_5G_01_【DC統】御殿山NW基盤運用_固定,A2,準委任,D,売上原価,,,160S,統括本,180S,ＣＤＳ本,5365,ＣＤＳ,,,,,,,,,,,,,,,1000,O/S,1300,ネットワークサービス,1310,NW運用,,,,,,,,,,1,,,,10,114,01200000925,20210301,20270430,,,,,,,4020300,TIG情シス向け,,,312,インフラ保守,125687,ＴＩＳ,1,ストック,1,既存,,,,,,,,,,,,,,,,,,,,,,,,,,5,ＤＣ統,,,"-3,590,000",0,"1,271,000",0,"-3,341,000","1,022,000","1,022,000",0,0,0,0,"740,948","222,750","230,000",0,0,0,0,"230,000",0,0,"230,000","7,320","7,320",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"92,500","92,500",0,0,"188,378",0,0,0,0,0,0,0,0,0,0,0,0,"281,052",0,0,0,"33,246",0,"33,246","72,994","43,235","29,759",0,"174,812","71,171","103,641"
02,修正予算,202604,20102,TISシステムサービス株式会社,A0000V3100,ＣＤＳ_5G_01_【DC統】保守契約運用,A2,準委任,D,売上原価,,,160S,統括本,180S,ＣＤＳ本,5365,ＣＤＳ,,,,,,,,,,,,,,,1000,O/S,1300,ネットワークサービス,1310,NW運用,,,,,,,,,,1,,,,10,101,01200000925,20210301,20270430,,,,,,,4020300,TIG情シス向け,,,312,インフラ保守,125687,ＴＩＳ,1,ストック,1,既存,,,,,,,,,,,,,,,,,,,,,,,,,,5,ＤＣ統,,,"-2,400,000",0,"600,000",0,"-2,400,000","600,000","600,000",0,0,0,0,"411,228","290,400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"120,828",0,0,0,0,0,0,0,0,0,0,0,0,"188,772",0,0,0,"20,985",0,"20,985","46,074","27,290","18,784",0,"121,713","44,924","76,789"
02,修正予算,202604,20102,TISシステムサービス株式会社,A0000V6100,ＣＤＳ_5G_01_【情シ】TETRA運用管理（通信）,A2,準委任,D,売上原価,,,160S,統括本,180S,ＣＤＳ本,5365,ＣＤＳ,,,,,,,,,,,,,,,1000,O/S,1300,ネットワークサービス,1310,NW運用,,,,,,,,,,1,,,,10,123,01200000826,20210301,20270430,,,,,,,4020300,TIG情シス向け,,,312,インフラ保守,125687,ＴＩＳ,1,ストック,1,既存,,,,,,,,,,,,,,,,,,,,,,,,,,5,ＣＩＴ,,,"-14,710,400",0,"3,712,600",0,"-14,601,400","3,603,600","3,603,600",0,0,0,0,"2,425,314","652,110","1,050,000",0,0,0,0,"1,050,000",0,0,"1,050,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,000","15,000",0,0,"708,204",0,0,0,0,0,0,0,0,0,0,0,0,"1,178,286",0,0,0,"122,998",0,"122,998","270,056","159,957","110,099",0,"785,232","263,309","521,923"
